book,book_name,section,office,office_en,job,job_en,count,duty_en
1,Heavenly Offices – Grand Steward,2,大宰,Grand Steward,卿,Minister,1,Administers grand steward.
1,Heavenly Offices – Grand Steward,2,宰夫,Steward Officer,上士,Senior Officer,8,Administers steward officer.
1,Heavenly Offices – Grand Steward,2,宰夫,Steward Officer,下大夫,Lower Grand Officer,4,Administers steward officer.
1,Heavenly Offices – Grand Steward,2,宰夫,Steward Officer,中士,Middle Officer,16,Administers steward officer.
1,Heavenly Offices – Grand Steward,2,宰夫,Steward Officer,史,Scribe,12,Administers steward officer.
1,Heavenly Offices – Grand Steward,2,宰夫,Steward Officer,府,Storekeeper,6,Administers steward officer.
1,Heavenly Offices – Grand Steward,2,宰夫,Steward Officer,徒,Laborer,120,Administers steward officer.
1,Heavenly Offices – Grand Steward,2,宰夫,Steward Officer,旅下士,Retinue Junior Officer,32,Administers steward officer.
1,Heavenly Offices – Grand Steward,2,宰夫,Steward Officer,胥,Clerk,12,Administers steward officer.
1,Heavenly Offices – Grand Steward,2,小宰,Assistant Steward,中大夫,Middle Grand Officer,2,Administers assistant steward.
1,Heavenly Offices – Grand Steward,3,宮伯,Palace Overseer,下士,Junior Officer,4,Administers palace overseer.
1,Heavenly Offices – Grand Steward,3,宮伯,Palace Overseer,中士,Middle Officer,2,Administers palace overseer.
1,Heavenly Offices – Grand Steward,3,宮伯,Palace Overseer,史,Scribe,2,Administers palace overseer.
1,Heavenly Offices – Grand Steward,3,宮伯,Palace Overseer,府,Storekeeper,1,Administers palace overseer.
1,Heavenly Offices – Grand Steward,3,宮伯,Palace Overseer,徒,Laborer,20,Administers palace overseer.
1,Heavenly Offices – Grand Steward,3,宮伯,Palace Overseer,胥,Clerk,2,Administers palace overseer.
1,Heavenly Offices – Grand Steward,3,宮正,Palace Supervisor,上士,Senior Officer,2,Administers palace supervisor.
1,Heavenly Offices – Grand Steward,3,宮正,Palace Supervisor,下士,Junior Officer,8,Administers palace supervisor.
1,Heavenly Offices – Grand Steward,3,宮正,Palace Supervisor,中士,Middle Officer,4,Administers palace supervisor.
1,Heavenly Offices – Grand Steward,3,宮正,Palace Supervisor,史,Scribe,4,Administers palace supervisor.
1,Heavenly Offices – Grand Steward,3,宮正,Palace Supervisor,府,Storekeeper,2,Administers palace supervisor.
1,Heavenly Offices – Grand Steward,3,宮正,Palace Supervisor,徒,Laborer,40,Administers palace supervisor.
1,Heavenly Offices – Grand Steward,3,宮正,Palace Supervisor,胥,Clerk,4,Administers palace supervisor.
1,Heavenly Offices – Grand Steward,4,膳夫,Chief of Royal Meals,上士,Senior Officer,2,Supplies food for court.
1,Heavenly Offices – Grand Steward,4,膳夫,Chief of Royal Meals,下士,Junior Officer,8,Supplies food for court.
1,Heavenly Offices – Grand Steward,4,膳夫,Chief of Royal Meals,中士,Middle Officer,4,Supplies food for court.
1,Heavenly Offices – Grand Steward,4,膳夫,Chief of Royal Meals,史,Scribe,4,Supplies food for court.
1,Heavenly Offices – Grand Steward,4,膳夫,Chief of Royal Meals,府,Storekeeper,2,Supplies food for court.
1,Heavenly Offices – Grand Steward,4,膳夫,Chief of Royal Meals,徒,Laborer,120,Supplies food for court.
