office,job_en
Autumn,Aerial Hunter
Autumn,Anti-Violence Officer
Autumn,Banditry Officer
Autumn,Beast Trapper
Autumn,Bird Hunter
Autumn,Block Watch Officer
Autumn,Burrow Exterminator
Autumn,Ceremonial Enforcer
Autumn,Ceremony Officer
Autumn,Circuit Judge
Autumn,City Court Officer
Autumn,City Judge
Autumn,City Regulator
Autumn,Contracts Officer
Autumn,Convict Labor Officer
Autumn,Convict Laborers
Autumn,Corpse Removal Officer
Autumn,County Judge
Autumn,Court Judge
Autumn,Diplomatic Liaison
Autumn,Dog Handler
Autumn,Elder Staff Officer
Autumn,Escort Officer
Autumn,Execution Officer
Autumn,Execution Regulator
Autumn,Fire Officer
Autumn,Forestry Officer
Autumn,Frog Exterminator
Autumn,Guest Director
Autumn,He Convict Laborers
Autumn,Inspector
Autumn,Interpreter
Autumn,Interrogation Officer
Autumn,Law Proclaimer
Autumn,Metals Officer
Autumn,Min Convict Laborers
Autumn,Nest Destroyer
Autumn,Night Watch Officer
Autumn,Oath Officer
Autumn,Pest Exterminator
Autumn,Poison Remover
Autumn,Population Registrar
Autumn,Prison Keeper
Autumn,Punishment Officer
Autumn,Reception Officer
Autumn,Reform Prison Officer
Autumn,Regional Judge
Autumn,Road Patrol Officer
Autumn,Silence Enforcer
Autumn,Southern Convict Laborers
Autumn,Suburban Judge
Autumn,Treasury Inspector
Autumn,Vermin Remover
Autumn,Water Pest Exterminator
Autumn,Waterway Officer
Autumn,Waterworks Regulator
Autumn,Weed Cutter
Autumn,Yi Convict Laborers
Autumn,上公之禮
Autumn,諸侯之禮
Autumn,諸子
Autumn,達天下之六節
Earth,Agriculture Officer
Earth,Boundary Officer
Earth,Cattle Officer
Earth,Charcoal Officer
Earth,Correction Officer
Earth,County Instructor
Earth,Dance Master
Earth,Drum Master
Earth,Dye‑plant Collector
Earth,Equalization Officer
Earth,Feather Collector
Earth,Forest Warden
Earth,Game‑field Warden
Earth,Gate Officer
Earth,Granary Director
Earth,Granary Officer
Earth,Hemp Collector
Earth,Herdsman
Earth,Horn Collector
Earth,Kitchen Cook
Earth,Land Equalization Officer
Earth,Land Survey Instructor
Earth,Land Transport Officer
Earth,Local Lore Instructor
Earth,Market Director
Earth,Market Inspector
Earth,Market Tax Officer
Earth,Marriage Officer
Earth,Marsh Warden
Earth,Mediator
Earth,Mineral Officer
Earth,Mountain Warden
Earth,Orchard Keeper
Earth,Park Keeper
Earth,Pass Officer
Earth,Rations Officer
Earth,Relief Officer
Earth,Remonstrance Officer
Earth,Rice Officer
Earth,Rice Pounder
Earth,River Warden
Earth,Royal Instructor
Earth,Royal Tutor
Earth,Rural Administrator
Earth,Rural Grand Officer
Earth,Rural Instructor
Earth,Sacrificial Stock Officer
Earth,Salary Officer
Earth,Shell‑lime Officer
Earth,Soil Technician
Earth,Storehouse Steward
Earth,Supply Officer
Earth,Tally Officer
Earth,Thatch Officer
Earth,Transport Officer
Earth,Treasury of Currency
Earth,Ward Instructor
Earth,Warehouse Keeper
Earth,乃均土地以稽其人民，而周知其數
Earth,乃會萬民之卒伍而用之
Earth,大司徒之職
Earth,教官之屬
Heaven,Administrative Offices
Heaven,Boiling/Cooking Attendant
Heaven,Chief Physician
Heaven,Cloth Cover Steward
Heaven,Controller of Accounts
Heaven,Currency Intendant
Heaven,Diet Physician
Heaven,Director of Wine
Heaven,Drink Steward
Heaven,Dyer
Heaven,Encampment Marshal
Heaven,Expenditure Intendant
Heaven,Field Master
Heaven,Fisher
Heaven,Fur Steward
Heaven,Gamekeeper
Heaven,Gatekeeper
Heaven,General Physician
Heaven,Grand Treasury
Heaven,Headdress Master
Heaven,Hemp Clerk
Heaven,Ice Master
Heaven,Inner Attendant
Heaven,Inner Kitchen Steward
Heaven,Inner Page
Heaven,Inner Palace Steward
Heaven,Inner Treasury
Heaven,Jade Treasury
Heaven,Kitchen Butcher
Heaven,Leather Steward
Heaven,Meat Curer
Heaven,Mistress of Wardrobe
Heaven,Mistress of Women’s Work
Heaven,Offering Basket Steward
Heaven,Outer Kitchen Steward
Heaven,Outer Treasury
Heaven,Palace Attendant
Heaven,Palace Eunuch
Heaven,Palace Steward
Heaven,Palace Warden
Heaven,Pickle/Paste Steward
Heaven,Quartermaster
Heaven,Registrar
Heaven,Revenue Intendant
Heaven,Ritual Runner
Heaven,Royal Catering Officer
Heaven,Salt Steward
Heaven,Seamstress Supervisor
Heaven,Shoemaker
Heaven,Silk Clerk
Heaven,Surgeon
Heaven,Tent Steward
Heaven,Turtle Catcher
Heaven,Veterinarian
Heaven,Vinegar Steward
Heaven,Wine Brewer
Spring,Ancestral Shrine Keeper
Spring,Appointment Officer
Spring,Aromatic Wine Officer
Spring,Astrological Officer
Spring,Astronomical Officer
Spring,Banner Officer
Spring,Barbarian Music Officer
Spring,Bell Master
Spring,Carriage Officer
Spring,Censor
Spring,Chariot Attendant
Spring,Chariot Master
Spring,Chief Shaman
Spring,Chime Master
Spring,City Ancestral Officer
Spring,Court Matron
Spring,Curse Invocator
Spring,Dance Instructor
Spring,Dance Master
Spring,Dance Weapon Steward
Spring,Divination Assistant
Spring,Divination Reader
Spring,Dream Diviner
Spring,Field Invocator
Spring,Flute Dance Master
Spring,Flute Ritual Officer
Spring,Funeral Director
Spring,Funeral Invocator
Spring,Grand Master Musician
Spring,Grand Music Director
Spring,Graveyard Grand Officer
Spring,Inner Scribe
Spring,Instrument Storekeeper
Spring,Jade Regalia Officer
Spring,Mat and Seat Steward
Spring,Metal Percussion Master
Spring,Omen Observer
Spring,Outer Sacrifice Officer
Spring,Outer Scribe
Spring,Pitch Regulator
Spring,Poultry Officer
Spring,Sacrificial Wine Officer
Spring,Senior Music Instructor
Spring,Temple Treasury Keeper
Spring,Tomb Superintendent
Spring,Turtle Diviner
Spring,Vessel Steward
Spring,Wardrobe Officer
Spring,Wind Instrument Master
Spring,Yarrow Diviner
